ticker,quantity,avg_cost,current_price,sector
AAPL,50,120.00,170.00,Technology
MSFT,20,210.00,330.00,Technology
GOOGL,15,90.00,140.00,Technology
AMZN,10,100.00,155.00,E-Commerce
TSLA,10,400.00,220.00,Automotive
JPM,30,110.00,150.00,Financial
BAC,50,25.00,35.00,Financial
JNJ,25,140.00,160.00,Healthcare
PFE,40,35.00,30.00,Healthcare
XOM,25,60.00,95.00,Energy
CVX,20,100.00,145.00,Energy
VTI,30,180.00,200.00,Index
SPY,15,350.00,420.00,Index
BND,40,82.00,77.00,Fixed Income
AGG,30,105.00,98.00,Fixed Income
GLD,10,160.00,185.00,Commodities
DIS,20,150.00,95.00,Entertainment
NFLX,8,500.00,450.00,Entertainment
WMT,15,130.00,165.00,Retail
KO,35,50.00,60.00,Consumer Goods
